word,semantic_score,count_complete,count_aufklaerung,count_kunstepoche,rel_count_complete,rel_count_aufklaerung,rel_count_kunstepoche,zeta_score
träumst,0.11,28,6.0,22.0,7.706363336866335e-06,2.869097429766886e-06,1.4266158532038226e-05,0.284552845528455
stopfen,0.1,36,18.0,18.0,9.908181433113856e-06,8.607292289300657e-06,1.1672311526213091e-05,0.089430894308943
schneegewand,0.06,12,8.0,4.0,3.302727144371286e-06,3.825463239689181e-06,2.593847005825132e-06,-0.0308943089430894
gönn,0.01,21,16.0,5.0,5.77977250264975e-06,7.650926479378362e-06,3.242308757281415e-06,-0.0707317073170732
spritze,0.07,11,5.0,6.0,3.027499882340345e-06,2.390914524805738e-06,3.890770508737698e-06,0.0268292682926829
franken,0.15,14,8.0,6.0,3.853181668433167e-06,3.825463239689181e-06,3.890770508737698e-06,0.0357723577235772
labe,0.05,62,32.0,30.0,1.706409024591831e-05,1.5301852958756724e-05,1.945385254368849e-05,0.189430894308943
lämmche,0.1,35,25.0,10.0,9.632954171082917e-06,1.195457262402869e-05,6.48461751456283e-06,-0.0861788617886179
unbedacht,0.05,14,7.0,7.0,3.853181668433167e-06,3.347280334728033e-06,4.539232260193981e-06,0.0357723577235772
matter,0.13,136,82.0,54.0,3.743090763620791e-05,3.921099820681411e-05,3.501693457863928e-05,0.136585365853659
griffel,0.08,124,90.0,34.0,3.412818049183662e-05,4.303646144650329e-05,2.204769954951362e-05,-0.109756097560976
aufgeblasen,0.1,32,28.0,4.0,8.807272384990096e-06,1.3389121338912134e-05,2.593847005825132e-06,-0.27479674796748
welkende,0.09,11,8.0,3.0,3.027499882340345e-06,3.825463239689181e-06,1.945385254368849e-06,-0.0308943089430894
liebch,0.23,309,172.0,137.0,8.504522396756061e-05,8.224745965331739e-05,8.883925994951076e-05,0.103252032520325
vorüberfahren,0.06,14,0.0,14.0,3.853181668433167e-06,0.0,9.078464520387962e-06,0.2
tausendfacher,0.07,23,23.0,0.0,6.330227026711632e-06,1.0998206814106395e-05,0.0,-0.219512195121951
ziehn,0.27,293,108.0,185.0,8.064158777506556e-05,5.164375373580395e-05,0.0001199654240194,0.154471544715447
beschäftigen,0.06,163,144.0,19.0,4.48620437110433e-05,6.885833831440526e-05,1.2320773277669376e-05,-0.434146341463415
preisgeben,0.04,18,0.0,18.0,4.954090716556929e-06,0.0,1.1672311526213091e-05,0.233333333333333
beträufeln,0.08,16,14.0,2.0,4.403636192495048e-06,6.694560669456067e-06,1.296923502912566e-06,-0.0886178861788618
brau,0.13,11,3.0,8.0,3.027499882340345e-06,1.434548714883443e-06,5.187694011650264e-06,0.0178861788617886
gell,0.12,39,14.0,25.0,1.073386321920668e-05,6.694560669456067e-06,1.6211543786407075e-05,0.120325203252033
stählen,0.05,84,43.0,41.0,2.3119090010599e-05,2.0561864913329347e-05,2.6586931809707603e-05,-0.0390243902439025
tänzen,0.07,16,4.0,12.0,4.403636192495048e-06,1.9127316198445905e-06,7.781541017475396e-06,0.117886178861789
geklung,0.06,45,13.0,32.0,1.2385226791392324e-05,6.216377764494919e-06,2.075077604660105e-05,0.326829268292683
unzufriedenheit,0.09,23,18.0,5.0,6.330227026711632e-06,8.607292289300657e-06,3.242308757281415e-06,-0.0951219512195122
überzeugen,0.03,85,72.0,13.0,2.339431727262994e-05,3.442916915720263e-05,8.430002768931679e-06,-0.360975609756098
schaugericht,0.03,14,9.0,5.0,3.853181668433167e-06,4.3036461446503285e-06,3.242308757281415e-06,0.0024390243902439
wohlgerüch,0.16,54,38.0,16.0,1.4862272149670786e-05,1.817095038852361e-05,1.0375388023300527e-05,-0.165853658536585
dichte,0.05,15,10.0,5.0,4.128408930464107e-06,4.781829049611476e-06,3.242308757281415e-06,-0.0219512195121951
bereit,0.04,22,12.0,10.0,6.054999764680691e-06,5.738194859533772e-06,6.48461751456283e-06,0.0292682926829268
