word,semantic_score,count_complete,count_aufklaerung,count_kunstepoche,rel_count_complete,rel_count_aufklaerung,rel_count_kunstepoche,zeta_score
komplott,0.02,32,12.0,20.0,2.050517050690063e-05,1.60678061419189e-05,2.4577663573567705e-05,0.0535714285714286
zeil,0.1,22,9.0,13.0,1.4097304723494184e-05,1.2050854606439174e-05,1.597548132281901e-05,0.205357142857143
atmen,0.04,326,155.0,171.0,0.000208896424539,0.0002075424959997,0.000210139023554,0.142857142857143
gülden,0.03,32,13.0,19.0,2.050517050690063e-05,1.7406789987078807e-05,2.334878039488932e-05,0.0
schlimme,0.11,13,2.0,11.0,8.330225518428381e-06,2.6779676903198163e-06,1.351771496546224e-05,0.357142857142857
geschunden,0.09,16,13.0,3.0,1.0252585253450316e-05,1.7406789987078807e-05,3.686649536035156e-06,-0.375
treffend,0.18,13,5.0,8.0,8.330225518428381e-06,6.6949192257995405e-06,9.831065429427082e-06,-0.0357142857142857
mitleiden,0.1,124,119.0,5.0,7.945753571423995e-05,0.000159339077574,6.144415893391926e-06,-0.669642857142857
partien,0.06,21,9.0,12.0,1.345651814515354e-05,1.2050854606439174e-05,1.4746598144140623e-05,0.0803571428571428
schamrot,0.04,12,11.0,1.0,7.689438940087736e-06,1.472882229675899e-05,1.2288831786783853e-06,-0.4375
verhältnis,0.03,183,31.0,152.0,0.0001172639438363,4.150849919995715e-05,0.0001867902431591,0.0803571428571429
achtgeben,0.04,22,4.0,18.0,1.4097304723494184e-05,5.3559353806396325e-06,2.2119897216210936e-05,0.276785714285714
schloss,0.11,31,6.0,25.0,1.9864383928559983e-05,8.03390307095945e-06,3.072207946695963e-05,0.205357142857143
kehrst,0.07,25,4.0,21.0,1.601966445851612e-05,5.3559353806396325e-06,2.580654675224609e-05,0.410714285714286
schnauben,0.08,22,6.0,16.0,1.4097304723494184e-05,8.03390307095945e-06,1.9662130858854164e-05,0.214285714285714
schuldlos,0.05,17,11.0,6.0,1.089337183179096e-05,1.472882229675899e-05,7.373299072070312e-06,-0.0446428571428572
küssen,0.17,676,356.0,320.0,0.0004331717269582,0.0004766782488769,0.000393242617177,0.0
stottern,0.07,12,2.0,10.0,7.689438940087736e-06,2.6779676903198163e-06,1.2288831786783853e-05,0.169642857142857
sehen,0.28,16128,8636.0,7492.0,0.0103346059354779,0.0115634644868009,0.0092067927746584,0.0
wörtch,0.06,30,20.0,10.0,1.922359735021934e-05,2.677967690319816e-05,1.2288831786783853e-05,-0.339285714285714
back,0.09,14,7.0,7.0,8.971012096769025e-06,9.372886916119356e-06,8.602182250748698e-06,0.0892857142857143
brav,0.06,393,236.0,157.0,0.0002518291252878,0.0003160001874577,0.0001929346590525,0.0714285714285714
abgemessen,0.05,12,10.0,2.0,7.689438940087736e-06,1.338983845159908e-05,2.4577663573567705e-06,-0.446428571428571
ei,0.06,30,13.0,17.0,1.922359735021934e-05,1.7406789987078807e-05,2.089101403753255e-05,0.0
haken,0.02,17,8.0,9.0,1.089337183179096e-05,1.0711870761279263e-05,1.1059948608105468e-05,-0.107142857142857
gefängnisse,0.11,24,13.0,11.0,1.5378877880175473e-05,1.7406789987078807e-05,1.351771496546224e-05,-0.0714285714285714
dalket,0.11,11,0.0,11.0,7.048652361747092e-06,0.0,1.351771496546224e-05,0.375
teil,0.09,109,59.0,50.0,6.984573703913027e-05,7.900004686443458e-05,6.144415893391926e-05,-0.125
künste,0.02,117,68.0,49.0,7.497202966585542e-05,9.105090147087376e-05,6.021527575524088e-05,-0.0625
zuschreiben,0.21,32,20.0,12.0,2.050517050690063e-05,2.677967690319816e-05,1.4746598144140623e-05,-0.196428571428571
antragen,0.07,30,21.0,9.0,1.922359735021934e-05,2.811866074835807e-05,1.1059948608105468e-05,-0.205357142857143
bestrahlen,0.2,16,4.0,12.0,1.0252585253450316e-05,5.3559353806396325e-06,1.4746598144140623e-05,0.151785714285714
atlas,0.04,14,12.0,2.0,8.971012096769025e-06,1.60678061419189e-05,2.4577663573567705e-06,-0.223214285714286
regierung,0.03,86,42.0,44.0,5.510764573729544e-05,5.623732149671614e-05,5.407085986184896e-05,-0.241071428571429
erneuern,0.06,44,32.0,12.0,2.8194609446988367e-05,4.284748304511706e-05,1.4746598144140623e-05,-0.357142857142857
passion,0.08,32,13.0,19.0,2.050517050690063e-05,1.7406789987078807e-05,2.334878039488932e-05,0.196428571428571
himmelswillen,0.05,18,13.0,5.0,1.1534158410131604e-05,1.7406789987078807e-05,6.144415893391926e-06,-0.321428571428571
lauern,0.07,103,54.0,49.0,6.600101756908641e-05,7.230512763863505e-05,6.021527575524088e-05,0.0803571428571429
unzeit,0.1,28,15.0,13.0,1.794202419353805e-05,2.008475767739862e-05,1.597548132281901e-05,-0.0089285714285713
besetzen,0.09,129,65.0,64.0,8.266146860594317e-05,8.703394993539404e-05,7.864852343541666e-05,0.285714285714286
täuschen,0.07,372,143.0,229.0,0.0002383726071427,0.0001914746898578,0.0002814142479173,0.0714285714285714
gedruckt,0.06,35,12.0,23.0,2.2427530241922564e-05,1.60678061419189e-05,2.826431310960286e-05,0.205357142857143
biegen,0.03,54,20.0,34.0,3.4602475230394816e-05,2.677967690319816e-05,4.17820280750651e-05,0.169642857142857
nebel,0.05,124,51.0,73.0,7.945753571423995e-05,6.828817610315531e-05,8.970847204352213e-05,0.142857142857143
innerster,0.14,131,65.0,66.0,8.394304176262445e-05,8.703394993539404e-05,8.110628979277343e-05,0.0089285714285713
verführung,0.17,40,29.0,11.0,2.563146313362579e-05,3.883053150963733e-05,1.351771496546224e-05,-0.419642857142857
bittest,0.15,11,5.0,6.0,7.048652361747092e-06,6.6949192257995405e-06,7.373299072070312e-06,-0.0446428571428572
schäferin,0.05,70,58.0,12.0,4.485506048384513e-05,7.766106301927467e-05,1.4746598144140623e-05,-0.0535714285714285
existieren,0.13,51,17.0,34.0,3.268011549537288e-05,2.276272536771844e-05,4.17820280750651e-05,0.258928571428571
maßstab,0.1,14,3.0,11.0,8.971012096769025e-06,4.016951535479725e-06,1.351771496546224e-05,0.232142857142857
schwand,0.13,11,5.0,6.0,7.048652361747092e-06,6.6949192257995405e-06,7.373299072070312e-06,0.0446428571428572
verneigen,0.05,89,30.0,59.0,5.703000547231738e-05,4.016951535479724e-05,7.250410754202473e-05,0.4375
nabob,0.0,12,8.0,4.0,7.689438940087736e-06,1.0711870761279263e-05,4.915532714713541e-06,-0.0178571428571428
einwickeln,0.11,18,6.0,12.0,1.1534158410131604e-05,8.03390307095945e-06,1.4746598144140623e-05,0.0892857142857143
