word,semantic_score,count_complete,count_aufklaerung,count_kunstepoche,rel_count_complete,rel_count_aufklaerung,rel_count_kunstepoche,zeta_score
direktion,0.03,16,13.0,3.0,6.135842176935446e-06,6.95451586137831e-06,4.063168729853455e-06,-0.166666666666667
geisterseh,0.08,16,4.0,12.0,6.135842176935446e-06,2.1398510342702493e-06,1.625267491941382e-05,0.155555555555556
petschaft,0.11,15,14.0,1.0,5.7523520408769805e-06,7.489478619945873e-06,1.3543895766178184e-06,-0.0055555555555555
husare,0.12,51,31.0,20.0,1.955799693898173e-05,1.6583845515594432e-05,2.708779153235637e-05,0.227777777777778
ledern,0.16,70,47.0,23.0,2.6844309524092577e-05,2.5143249652675428e-05,3.115096026220982e-05,-0.0666666666666667
wette,0.03,93,73.0,20.0,3.566458265343728e-05,3.9052281375432046e-05,2.708779153235637e-05,0.0
mama,0.11,71,62.0,9.0,2.7227799660151043e-05,3.3167691031188864e-05,1.2189506189560363e-05,-0.4
todbette,0.1,13,13.0,0.0,4.98537176876005e-06,6.95451586137831e-06,0.0,-0.355555555555556
unerforschlich,0.04,25,11.0,14.0,9.587253401461637e-06,5.884590344243186e-06,1.8961454072649456e-05,0.0222222222222222
verwundet,0.03,217,114.0,103.0,8.321735952468699e-05,6.09857544767021e-05,0.0001395021263916,0.0055555555555555
zufriedenheit,0.06,395,348.0,47.0,0.000151478603743,0.0001861670399815,6.365631010103746e-05,0.0666666666666667
erleiden,0.06,155,111.0,44.0,5.9440971089062136e-05,5.938086620099942e-05,5.959314137118401e-05,-0.0833333333333334
madame,0.0,84,84.0,0.0,3.221317142891109e-05,4.493687171967524e-05,0.0,-0.138888888888889
legend,0.04,28,18.0,10.0,1.073772380963703e-05,9.62932965421612e-06,1.3543895766178185e-05,0.0388888888888889
anbieten,0.03,312,256.0,56.0,0.0001196489224502,0.0001369504661932,7.584581629059782e-05,0.0388888888888889
blätter,0.25,512,302.0,210.0,0.0001963469496619,0.0001615587530874,0.0002844218110897,0.0
gesittet,0.01,46,42.0,4.0,1.7640546258689406e-05,2.246843585983761e-05,5.417558306471274e-06,-0.283333333333333
erheiternd,0.01,17,12.0,5.0,6.519332312993912e-06,6.419553102810748e-06,6.771947883089091e-06,0.305555555555556
mitleidig,0.07,118,97.0,21.0,4.5251836054898914e-05,5.189138758105354e-05,2.8442181108974185e-05,-0.0444444444444444
wohlgefallen,0.01,64,46.0,18.0,2.4543368707741783e-05,2.4608286894107865e-05,2.437901237912073e-05,0.0111111111111111
humoristisch,0.11,38,22.0,16.0,1.4572625170221684e-05,1.1769180688486372e-05,2.167023322588509e-05,0.35
züchtig,0.02,22,13.0,9.0,8.436782993286238e-06,6.95451586137831e-06,1.2189506189560363e-05,0.105555555555556
