,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
67,68,Amanda und Eduard,Mereau ,1770,Kunstepoche,Roman,epik,1803,Mereau_AmandaUndEduard.txt,https://www.projekt-gutenberg.org/autoren/namen/brentans.html,,53117
68,69,Marie,Mereau ,1770,Kunstepoche,Novelle,epik,1798,Mereau_Marie.txt,https://www.projekt-gutenberg.org/autoren/namen/brentans.html,,12209
10,11,Anton Reiser,Moritz,1756,Aufklaerung,Roman,epik,1785,Moritz_Reiser.txt,https://www.projekt-gutenberg.org/moritz/reiser/reiser.html,,135246
123,124,Siegfried von Lindenberg,Mueller,1743,Aufklaerung,Roman,epik,1779,Mueller_SiegfiredVonLindenberg.txt,https://www.projekt-gutenberg.org/autoren/namen/muellerj.html,,42900
90,91,Legenden vom Rübezahl,Musaeus,1735,Aufklaerung,Novelle,epik,1783,Musaeus_Ruebezahl.txt,https://www.projekt-gutenberg.org/autoren/namen/musaeus.html,,24823
91,92,Libussa,Musaeus,1735,Aufklaerung,Erzählung,epik,1784,Musaeus_Libussa.txt,https://www.projekt-gutenberg.org/autoren/namen/musaeus.html,,17140
92,93,Moralische Kinderklapper,Musaeus,1735,Aufklaerung,Roman,epik,1794,Musaeus_Kinderklapper.txt,https://www.projekt-gutenberg.org/autoren/namen/musaeus.html,,15017
46,47,Freuden des Jungen Werthers,Nicolai,1733,Aufklaerung,Roman,epik,1775,Nicolai_FreudenDesJungenWerthers.txt,,,6226
47,48,Geschichte eines Dicken Mannes,Nicolai,1733,Aufklaerung,Roman,epik,1794,Nicolai_GeschichteEinesFettenMannes.txt,,,89261
48,49,Das Leben und die Meinungen des Herrn Magister Sebaldus Nothanker,Nicolai,1733,Aufklaerung,Roman,epik,1776,Nicolai_SebaldusNothanker.txt,,,127685
33,34,Heinrich von Ofterdingen,Novalis,1772,Kunstepoche,Roman,epik,1800,Novalis_HeinrichvonOfterdingen.txt,https://www.projekt-gutenberg.org/novalis/ofterdng/ofterdng.html,Fragment,51567
25,26,Grönländische Prozesse oder Satirische Skizzen,Paul,1763,Aufklaerung,Satire,epik,1783,Paul_GrönländischeProzesse.txt,https://www.projekt-gutenberg.org/jeanpaul/groenlnd/groenlnd.html,Sehr Aufklärerisch nach Brenner,69889
26,27,Unsichtbare Loge,Paul,1763,Aufklaerung,Roman,epik,1793,Paul_UnsichtbareLoge.txt,https://www.projekt-gutenberg.org/jeanpaul/loge/loge.html,,155889
27,28,Hesperus,Paul,1763,Aufklaerung,Roman,epik,1795,Paul_Hesperus.txt,https://www.projekt-gutenberg.org/jeanpaul/hesperus/index.html,,257091
28,29,Titan,Paul,1763,Aufklaerung,Roman,epik,1800,Paul_Titan.txt,https://www.projekt-gutenberg.org/jeanpaul/titan/titan.html,,332375
29,30,Leben des vergnügten Schulmeisterlein Maria Wutz in Auenthal,Paul,1763,Aufklaerung,Roman,epik,1793,Paul_MariaWutz.txt,https://www.projekt-gutenberg.org/jeanpaul/loge/loge56.html,,13892
78,79,Alwin,Pellegrin,1777,Kunstepoche,Roman,epik,1808,Pellegrin_Alwin.txt,https://www.projekt-gutenberg.org/autoren/namen/fouque.html,,77848
79,80,Aslauga's Ritter,Pellegrin,1777,Kunstepoche,Roman,epik,1810,Pellegrin_AslaugasRitter.txt,https://www.projekt-gutenberg.org/autoren/namen/fouque.html,,12401
80,81,Das Schauerfeld,Pellegrin,1777,Kunstepoche,Roman,epik,1814,Pellegrin_Schauerfeld.txt,https://www.projekt-gutenberg.org/autoren/namen/fouque.html,,4082
81,82,Die Fahrten Thiodolfs des Isländers,Pellegrin,1777,Kunstepoche,Roman,epik,1815,Pellegrin_Thiedolf.txt,https://www.projekt-gutenberg.org/autoren/namen/fouque.html,,102344
16,17,Der Geisterseher,Schiller,1759,Aufklaerung,Roman,epik,1789,Schiller_Geisterseher.txt,https://www.projekt-gutenberg.org/schiller/geisters/geisters.html,,49003
31,32,Lucinde,Schlegel,1772,Kunstepoche,Roman,epik,1799,Schlegel_Lucinde.txt,https://www.projekt-gutenberg.org/schleglf/lucinde/lucinde.html,,31386
51,52,Der im Irrgarten der Liebe herum taumelnde Cavalier,Schnabel,1758,Aufklaerung,Roman,epik,1738,Schnabel_IrrgartenDerLiebe.txt,,,144658
52,53,Die Insel Felsenburg,Schnabel,1758,Aufklaerung,Roman,epik,1743,Schnabel_Felsenburg.txt,,,135703
53,54,Erzählung vom ehrlichen Merillo,Schnabel,1758,Aufklaerung,Erzählung,epik,,Schnabel_Merillio.txt,,,7311
98,99,Gabriele,Schopenhauer,1766,Aufklaerung,Roman,epik,1821,Schopenhauer_Gabriele.txt,"http://www.zeno.org/Literatur/M/Schopenhauer,+Johanna/Romane",,159921
99,100,Die Tante,Schopenhauer,1766,Aufklaerung,Roman,epik,1823,Schopenhauer_Tante.txt,"http://www.zeno.org/Literatur/M/Schopenhauer,+Johanna/Romane",,126856
100,101,Richard Wood,Schopenhauer,1766,Aufklaerung,Roman,epik,1837,Schopenhauer_RichardWood.txt,"http://www.zeno.org/Literatur/M/Schopenhauer,+Johanna/Romane",,116779
121,122,Wilhelmines Werdegang,Thuemmel,1738,Aufklaerung,Erzählung,epik,,Thuemmel_WilhelminesWerdegang.txt,https://www.projekt-gutenberg.org/autoren/namen/thuemmel.html,,12438
122,123,Wilhelmine,Thuemmel,1738,Aufklaerung,Epos,epik,1767,Thuemmel_Wilhelmine.txt,https://www.projekt-gutenberg.org/autoren/namen/thuemmel.html,,12470
32,33,Franz Sternbalds Wanderungen,Tieck,1773,Kunstepoche,Roman,epik,1798,Tieck_SternbaldsWanderungen.txt,https://www.projekt-gutenberg.org/tieck/sternbld/index.html,,106973
