,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
265,266,Der böse Geist Lumpazivagabundus oder Das liederliche Kleeblatt,Nestroy,1801,Kunstepoche,Comedy,drama,1833,nestroy-der-boese-geist-lumpazivagabundus.xml,https://github.com/dracor-org/gerdracor,,16922
266,267,Das Nachtlager von Granada,Braun von Braunthal,1802,Kunstepoche,,drama,1834,braun-von-braunthal-das-nachtlager-von-granada.xml,https://github.com/dracor-org/gerdracor,,10713
267,268,Der Traum ein Leben,Grillparzer,1791,Kunstepoche,,drama,1834,grillparzer-der-traum-ein-leben.xml,https://github.com/dracor-org/gerdracor,,21636
268,269,Der Verschwender,Raimund,1790,Kunstepoche,,drama,1834,raimund-der-verschwender.xml,https://github.com/dracor-org/gerdracor,,26739
269,270,Bürgerlich und Romantisch,Bauernfeld,1802,Kunstepoche,Comedy,drama,1835,bauernfeld-buergerlich-und-romantisch.xml,https://github.com/dracor-org/gerdracor,,21765
270,271,Johannes Gutenberg,Birch-Pfeiffer,1800,Kunstepoche,,drama,1835,birch-pfeiffer-johannes-gutenberg.xml,https://github.com/dracor-org/gerdracor,,20756
271,272,Faust,Braun von Braunthal,1802,Kunstepoche,Tragedy,drama,1835,braun-von-braunthal-faust.xml,https://github.com/dracor-org/gerdracor,,21747
272,273,Dantons Tod,Büchner,1813,Kunstepoche,,drama,1835,buechner-dantons-tod.xml,https://github.com/dracor-org/gerdracor,,23158
273,274,Hannibal,Grabbe,1801,Kunstepoche,,drama,1835,grabbe-hannibal.xml,https://github.com/dracor-org/gerdracor,,20582
274,275,"Andreas Hofer, der Sandwirt von Passeier",Immermann,1796,Kunstepoche,Tragedy,drama,1835,immermann-andreas-hofer.xml,https://github.com/dracor-org/gerdracor,,21051
275,276,Die Jungfern Köchinnen,Malß,1792,Kunstepoche,Comedy,drama,1835,malss-die-jungfern-koechinnen.xml,https://github.com/dracor-org/gerdracor,,11141
276,277,Eulenspiegel oder Schabernack über Schabernack,Nestroy,1801,Kunstepoche,Comedy,drama,1835,nestroy-eulenspiegel.xml,https://github.com/dracor-org/gerdracor,,19381
277,278,Zu ebener Erde und erster Stock oder Die Launen des Glückes,Nestroy,1801,Kunstepoche,Comedy,drama,1835,nestroy-zu-ebener-erde-und-erster-stock.xml,https://github.com/dracor-org/gerdracor,,23669
278,279,Herr und Sklave,Zedlitz,1790,Kunstepoche,Tragedy,drama,1835,zedlitz-herr-und-sklave.xml,https://github.com/dracor-org/gerdracor,,4667
279,280,Die Gunst des Augenblicks,Devrient,1801,Kunstepoche,Comedy,drama,1836,devrient-die-gunst-des-augenblicks.xml,https://github.com/dracor-org/gerdracor,,21074
280,281,Woyzeck,Büchner,1813,Kunstepoche,,drama,1837,buechner-woyzeck.xml,https://github.com/dracor-org/gerdracor,,12015
281,282,Zar und Zimmermann,Lortzing,1801,Kunstepoche,,drama,1837,lortzing-zar-und-zimmermann.xml,https://github.com/dracor-org/gerdracor,,18951
